Smiles,Tg/℃
[*]C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)O[*],219.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],220.85
[*]C1=CC=CC(=C1)N6C(=O)C5=CC2=C(C(N(C2=O)C3=CC(=CC=C3)OC4=CC=CC(=C4)O[*])=O)C=C5C6=O,220.85
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],226.85
[*]C1=C(Cl)C=C(C=C1(Cl))C(C)(C)C1=CC(Cl)=C(C(Cl)=C1)OC(=O)O[*],229.85
[*]C1=CC=C(C=C1)C1(CC2CC1CC2)C1=CC=C(C=C1)OC(=O)O[*],231.85
[*]OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],238.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],239.85
[*]C1=CC=C(C=C1)C2(CC3C4C(C2C3)CCC4)C5=CC=C(C=C5)OC(=O)O[*],246.85
[*]OC1=CC=C(C=C1)C1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],246.85
[*]C1=C(Br)C=C(C=C1(Br))C(C)(C)C1=CC(Br)=C(C(Br)=C1)OC(=O)O[*],249.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],259.85
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C3=CC=CC=C3)C=CC2=N1,265.85
[*]C1=NC2=C(C=CC=C2)C(=C1)C1=CC=C(OC2=CC=C(C=C2)C2=CC(=NC3=C2C=CC=C3)C2=CC=CC([*])=C2)C=C1,267.85
[*]C1=CC=C(C=C1)C2=NN=C([N]2C3=CC=CC=C3)C4=CC(=CC=C4)C5=NN=C([N]5C6=CC=CC=C6)[*],269.85
[*]C(=O)C1=CC=CC(=C1)C(=O)NC1=CC=CC(=C1)N[*],271.85
[*]C1=NC2=C(C=CC=C2)C(C2=CC=C(OC3=CC=C(C=C3)C3=C(C4=CC=CC=C4)C(=NC4=C3C=CC=C4)C3=CC=CC([*])=C3)C=C2)=C1C1=CC=CC=C1,272.85
[*]NC(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)CC1=CC=C(C=C1)[*],276.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=C(C=C1)[*],287.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(C=CC=C1)C(=O)C1=CC=C(C=C1)[*],288.85
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C([*])C=C3)C3=CC=CC=C3)C=CC2=N1,299.85
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C=CC2=N1,304.85
[*]C1=CN=C2C=CC(=CC2=N1)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)[*],304.85
[*]C1=CN=C2C=CC(=CC2=N1)OC1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],305.85
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)OC(=O)[*],306.85
